pos	5pG>A
1	0.389416627796136
2	0.221275648001132
3	0.112281758241064
4	0.075816007095623
5	0.0562537394222679
6	0.045066250845963
7	0.0356728584754955
8	0.0305513279060157
9	0.0259812054667236
10	0.0235952453385103
11	0.0215584566856991
12	0.0202699272774555
13	0.0191834934208392
14	0.0186581827819519
15	0.0175988356700993
16	0.0170669936258867
17	0.0172160040000582
18	0.0168717868295809
19	0.0162765949861072
20	0.015699741331647
21	0.0150866905465309
22	0.0145949599719198
23	0.0141922332773521
24	0.0135380704085335
25	0.0130628701037835
