pos	5pC>T
1	0.0190066144501109
2	0.0279030475488764
3	0.0328853145312328
4	0.026835202326687
5	0.026595714536686
6	0.0233560986623017
7	0.00872091386619675
8	0.00983597518952447
9	0.00635302386364884
10	0.00629862093352192
11	0.00626679583381224
12	0.00511404878692563
13	0.00472562393003451
14	0.00477608034283097
15	0.00475811127910821
16	0.00463825913563657
17	0.00458616712833723
18	0.0047955874194512
19	0.00443937020417917
20	0.00450860952563672
21	0.00461746676220046
22	0.00446227447278656
23	0.00472087682560996
24	0.00415590489248855
25	0.00438090478443715
