pos	5pC>T
1	0.389770312030933
2	0.238722885405606
3	0.139344215533745
4	0.102699359013431
5	0.0779270626920718
6	0.063366808948757
7	0.0510888645392965
8	0.0431207095698741
9	0.0368460909278827
10	0.0327018187478267
11	0.029304224320553
12	0.0267334967825074
13	0.0247363444837233
14	0.0231871322717324
15	0.0212581612596781
16	0.0199644066727242
17	0.0197235476775695
18	0.0187530385553321
19	0.0179754083498358
20	0.0171278633168261
21	0.0163317794358724
22	0.0157324868716488
23	0.0150789786383163
24	0.0143289764513827
25	0.0137887304566259
