pos	5pG>A
1	0.430056905320899
2	0.258149088501132
3	0.161263148311413
4	0.117629579341122
5	0.0896864235683374
6	0.0711515078493737
7	0.0562016033458177
8	0.0472327185424986
9	0.039355636387362
10	0.0342458943768228
11	0.0303749976627279
12	0.0275409946337677
13	0.0251951019324726
14	0.0235476028105791
15	0.021574412772401
16	0.0201311336760377
17	0.0199669082107657
18	0.0190550646882459
19	0.0181156226802685
20	0.0171146749113413
21	0.0165323916181622
22	0.0158167938854203
23	0.0153428578712913
24	0.0146679595349992
25	0.0141350420833919
