pos	5pC>T
1	0.432097186626163
2	0.259789581812037
3	0.162241767433263
4	0.118930040767113
5	0.0905232393497887
6	0.0718464886536957
7	0.0570843333363661
8	0.0477105718590412
9	0.0400049786624123
10	0.0348182478827833
11	0.0309984997727273
12	0.028036452092287
13	0.0255508625476846
14	0.0240049103667012
15	0.0218868293343057
16	0.0205218175615671
17	0.0200176206821481
18	0.0191500211682991
19	0.0182094448233032
20	0.0172631670121695
21	0.0165445522925626
22	0.0158122714799707
23	0.0151950934474956
24	0.0146295736904736
25	0.0141187649129953
