pos	5pG>A
1	0.0178695900133071
2	0.00960960960960961
3	0.00602599035841543
4	0.00670174565364241
5	0.0019215592080431
6	0.00132758592431121
7	0.00203709837694601
8	0.00147440051847051
9	0.00135867341092504
10	0.0017419001642363
11	0.00177025963808025
12	0.00187784307059719
13	0.00160015675004898
14	0.00140683788647145
15	0.00174221754708918
16	0.00172490266620669
17	0.00160377049716885
18	0.00169854154077316
19	0.00148066190468442
20	0.0017191132650054
21	0.00108741519784465
22	0.00169601033758682
23	0.00142372664448426
24	0.00154026344922746
25	0.00157401904884277
